CMD: maintainability_line_counts(scope files expanded, tracked-aware)
apps/s10_gui_operator_tools_v1.ts | tracked=0 | total_lines=96 | added=96 | removed=0 | net=96
docs/backlog/README.md | tracked=1 | total_lines=14 | added=1 | removed=0 | net=1
docs/sprints/README.md | tracked=1 | total_lines=12 | added=1 | removed=0 | net=1
docs/sprints/S10/README.md | tracked=0 | total_lines=28 | added=28 | removed=0 | net=28
docs/sprints/S10/evidence/at/AT-S10-01_run.json | tracked=0 | total_lines=42 | added=42 | removed=0 | net=42
docs/sprints/S10/evidence/at/AT-S10-02_run.json | tracked=0 | total_lines=32 | added=32 | removed=0 | net=32
docs/sprints/S10/evidence/at/AT-S10-03_run.json | tracked=0 | total_lines=136 | added=136 | removed=0 | net=136
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/00_context.txt | tracked=0 | total_lines=3 | added=3 | removed=0 | net=3
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/01_open_pr_inventory.txt | tracked=0 | total_lines=4 | added=4 | removed=0 | net=4
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/02_pwd.txt | tracked=0 | total_lines=4 | added=4 | removed=0 | net=4
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/03_echo_repo.txt | tracked=0 | total_lines=4 | added=4 | removed=0 | net=4
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/04_show_toplevel.txt | tracked=0 | total_lines=4 | added=4 | removed=0 | net=4
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/05_worktree_list.txt | tracked=0 | total_lines=7 | added=7 | removed=0 | net=7
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/06_status.txt | tracked=0 | total_lines=9 | added=9 | removed=0 | net=9
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/07_fetch.txt | tracked=0 | total_lines=3 | added=3 | removed=0 | net=3
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/08_revlist.txt | tracked=0 | total_lines=4 | added=4 | removed=0 | net=4
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/09_branch.txt | tracked=0 | total_lines=4 | added=4 | removed=0 | net=4
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/10_log.txt | tracked=0 | total_lines=8 | added=8 | removed=0 | net=8
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/11_prune.txt | tracked=0 | total_lines=3 | added=3 | removed=0 | net=3
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/12_fsck.txt | tracked=0 | total_lines=5 | added=5 | removed=0 | net=5
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/13_checkout_main.txt | tracked=0 | total_lines=7 | added=7 | removed=0 | net=7
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/14_pull_ff_main.txt | tracked=0 | total_lines=6 | added=6 | removed=0 | net=6
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/15_status_main.txt | tracked=0 | total_lines=9 | added=9 | removed=0 | net=9
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/16_revlist_main.txt | tracked=0 | total_lines=4 | added=4 | removed=0 | net=4
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/17_branch_main.txt | tracked=0 | total_lines=4 | added=4 | removed=0 | net=4
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/18_checkout_s10.txt | tracked=0 | total_lines=7 | added=7 | removed=0 | net=7
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/19_status_s10.txt | tracked=0 | total_lines=9 | added=9 | removed=0 | net=9
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/20_at_s10_tests.txt | tracked=0 | total_lines=36 | added=36 | removed=0 | net=36
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/29_npm_ci.txt | tracked=0 | total_lines=15 | added=15 | removed=0 | net=15
docs/sprints/S10/evidence/closeout_bundle/run_20260304_182532/30_gate_verify.txt | tracked=0 | total_lines=166 | added=166 | removed=0 | net=166
